test,nodes,edges,terminals,cpu_results,gpu_results,wata-orz_results,wata-orz_results_with_preprocessing
oddwheel3,7,9,4,0,0.314,0.000,0.000
se03,13,21,4,0,0.228,0.000,0.000
taq0023,572,963,11,10.903,0.284,0.005,0.015
taq0431,1128,1905,13,over 30s,1.02,0.016,0.034
taq0631,609,932,10,8.215,0.278,0.008,0.012
taq0739,837,1438,16,over 30s,9.808,0.014,0.025
taq0741,712,1217,16,over 30s,5.28,0.021,0.027
taq0751,1051,1791,16,over 30s,13.007,0.020,0.039
taq0891,331,560,10,1.951,0.228,0.002,0.004
taq0910,310,514,17,over 30s,9.787,0.012,0.005
taq0920,122,194,17,over 30s,7,0.003,0.001
taq0978,777,1239,10,15.248,0.308,0.006,0.013
