test,n,m,t,DW CPU,DW GPU,DW GPU P,Pruning,Pruning P
p630,200,370,10,0.511,0.006,0.000,0.002,0.002
p631,200,370,20,over 30s,over 30s,0.000,0.015,0.009
p601,100,180,0.000,0.000,0.000,0.000,0.000,over 30s
p602,100,180,5,0.019,0.001,0.000,0.000,0.002
p603,100,180,5,0.019,0.002,0.000,0.000,0.003
p604,100,180,10,0.151,0.004,0.000,0.001,0.003
p605,100,180,10,0.158,0.002,0.000,0.002,0.003
p606,100,180,10,0.152,0.002,0.000,0.002,0.001
p607,100,180,20,over 30s,16.407,0.000,0.003,0.001
p608,100,180,20,over 30s,16.34,0.000,0.010,0.001
p609,100,180,20,over 30s,16.479,0.000,0.003,0.004
p613,200,370,10,0.513,0.007,0.000,0.003,0.010
p614,200,370,20,over 30s,over 30s,0.457,0.033,0.013
cc3-4p,64,288,8,0.024,0.000,0.000,0.008,0.006
cc3-4u,64,288,8,0.023,0.000,0.000,0.014,0.010
cc3-5p,125,750,13,2.478,0.024,0.021,0.881,0.841
cc3-5u,125,750,13,2.47,0.022,0.02,0.827,0.801
cc6-2p,64,192,12,0.377,0.004,0.004,0.156,0.128
cc6-2u,64,192,12,0.375,0.004,0.004,0.145,0.132
antiwheel5,10,15,5,0.000,0.000,0.000,0.000,0.000
design432,8,20,4,0.000,0.000,0.000,0.000,0.000
oddcycle3,6,9,3,0.000,0.000,0.000,0.000,0.000
oddwheel3,7,9,4,0.000,0.000,0.000,0.000,0.000
se03,13,21,4,0.000,0.000,0.000,0.000,0.000
taq0023,572,963,11,7.354,0.066,0.000,0.005,0.015
taq0431,1128,1905,13,over 30s,0.865,0.021,0.016,0.034
taq0631,609,932,10,4.149,0.048,0.000,0.008,0.012
taq0739,837,1438,16,over 30s,4.334,0.038,0.014,0.025
taq0741,712,1217,16,over 30s,3.359,0.209,0.021,0.027
taq0751,1051,1791,16,over 30s,6.325,0.758,0.020,0.039
taq0891,331,560,10,1.304,0.016,0.000,0.002,0.004
taq0910,310,514,17,over 30s,2.405,0.000,0.012,0.005
taq0920,122,194,17,over 30s,0.78,0.000,0.003,0.001
taq0978,777,1239,10,6.709,0.074,0.000,0.006,0.013
